street,city,state,zip_code,country
43321 Brittany Bypass,North Jefferyhaven,Rhode Island,03979,Monaco
863 Lawrence Valleys,Port Lindachester,Michigan,36922,Cape Verde
1161 Abbott Rapids,Lindsaymouth,Ohio,16862,Uzbekistan
84959 Janet Cape Apt. 413,South Joshuastad,Hawaii,49021,Guinea
419 Amanda Gardens,South Noah,South Dakota,90699,Moldova
503 Linda Locks,Carlshire,Virginia,41746,Croatia
7242 Julie Plain Suite 969,Coxberg,North Carolina,65187,Bermuda
22691 James Mountain,Tashatown,Utah,94967,Brazil
514 Moore Alley Suite 828,Port Colleenhaven,Rhode Island,26572,Cape Verde
88095 Smith Lake Suite 303,North Jessicaland,Wisconsin,70323,Seychelles
